"Timespan","""direct democracy""","""direct democracy"" ""new england""","""direct democracy"" switzerland"
"1850-1859","0","0","0"
"1860-1869","585","1","4"
"1870-1879","607","0","5"
"1880-1889","633","1","495"
"1890-1899","1110","641","771"
"1900-1909","1200","4","5"
"1910-1919","3280","795","845"
"1920-1929","2940","741","738"
"1930-1939","2290","724","770"
"1940-1949","3310","777","759"
"1950-1959","5680","952","948"
"1960-1969","16600","1240","1450"
"1970-1979","22200","1300","2050"
"1980-1989","28100","1300","2420"
"1990-1999","50400","1880","5350"
"2000-2009","84000","2300","9730"
